Model,MAE,RMSE,R2
Linear Regression,23.76190552611756,124.6648841343226,0.9631935848823298
Random Forest Regression,27.540222767400255,130.91646250330518,0.9594095591731913
Decision Tree Regression,37.19954032416546,162.61099574033457,0.9373768278388033
